,Day,Hour,Keypresses,keypresses_over_last_24_hours
607,2020-10-16,7,0,18913.0
608,2020-10-16,8,0,18913.0
609,2020-10-16,9,0,18913.0
610,2020-10-16,10,3743,22656.0
611,2020-10-16,11,2027,24683.0
612,2020-10-16,12,4485,27583.0
613,2020-10-16,13,5212,32442.0
614,2020-10-16,14,2560,34690.0
615,2020-10-16,15,433,35123.0
616,2020-10-16,16,0,35123.0
617,2020-10-16,17,0,33057.0
618,2020-10-16,18,0,25855.0
619,2020-10-16,19,0,24937.0
620,2020-10-16,20,0,22040.0
621,2020-10-16,21,0,19845.0
622,2020-10-16,22,0,19285.0
623,2020-10-16,23,0,18460.0
624,2020-10-17,0,840,19300.0
625,2020-10-17,1,541,19841.0
626,2020-10-17,2,0,19841.0
627,2020-10-17,3,0,19841.0
628,2020-10-17,4,0,19841.0
629,2020-10-17,5,0,19841.0
630,2020-10-17,6,0,19841.0
631,2020-10-17,7,0,19841.0
632,2020-10-17,8,0,19841.0
633,2020-10-17,9,0,19841.0
634,2020-10-17,10,0,16098.0
635,2020-10-17,11,76,14147.0
636,2020-10-17,12,0,9662.0
637,2020-10-17,13,0,4450.0
638,2020-10-17,14,0,1890.0
639,2020-10-17,15,0,1457.0
640,2020-10-17,16,489,1946.0
641,2020-10-17,17,3291,5237.0
642,2020-10-17,18,6356,11593.0
643,2020-10-17,19,1652,13245.0
644,2020-10-17,20,4653,17898.0
645,2020-10-17,21,6375,24273.0
646,2020-10-17,22,1679,25952.0
647,2020-10-17,23,1157,27109.0
648,2020-10-18,0,0,26269.0
649,2020-10-18,1,0,25728.0
650,2020-10-18,2,0,25728.0
651,2020-10-18,3,0,25728.0
652,2020-10-18,4,0,25728.0
653,2020-10-18,5,0,25728.0
654,2020-10-18,6,0,25728.0
655,2020-10-18,7,0,25728.0
656,2020-10-18,8,0,25728.0
657,2020-10-18,9,270,25998.0
658,2020-10-18,10,3753,29751.0
659,2020-10-18,11,5452,35127.0
660,2020-10-18,12,0,35127.0
661,2020-10-18,13,271,35398.0
662,2020-10-18,14,4922,40320.0
663,2020-10-18,15,3058,43378.0
664,2020-10-18,16,1784,44673.0
665,2020-10-18,17,5824,47206.0
666,2020-10-18,18,3903,44753.0
667,2020-10-18,19,3707,46808.0
668,2020-10-18,20,257,42412.0
669,2020-10-18,21,59,36096.0
670,2020-10-18,22,2416,36833.0
671,2020-10-18,23,6199,41875.0
