Date,steps,7_day_avg,30_day_avg,365_day_avg
2021-02-23,4742,4033.714285714286,4502.666666666667,5542.8
2021-02-24,3608,3675.1428571428573,4586.533333333334,5551.378082191781
2021-02-25,8420,4123.857142857143,4791.0,5557.920547945206
2021-02-26,9746,5268.571428571428,5046.0,5569.7013698630135
2021-02-27,9244,6120.285714285715,5308.4,5584.1506849315065
2021-02-28,5607,6112.857142857143,5436.666666666667,5586.917808219178
2021-03-01,7708,7010.714285714285,5649.466666666666,5599.241095890411
2021-03-02,3430,6823.285714285715,5691.566666666667,5587.213698630137
2021-03-03,9431,7655.142857142857,5923.533333333334,5599.350684931507
2021-03-04,12164,8190.0,5973.866666666667,5615.12602739726
2021-03-05,8638,8031.714285714285,6097.7,5622.731506849315
2021-03-06,11004,8283.142857142857,6220.7,5633.520547945205
2021-03-07,8889,8752.0,6382.133333333333,5647.975342465754
2021-03-08,1675,7890.142857142857,6083.533333333334,5643.26301369863
2021-03-09,3665,7923.714285714285,5949.466666666666,5633.775342465753
2021-03-10,9294,7904.142857142857,6122.433333333333,5645.608219178082
2021-03-11,4004,6738.428571428572,6073.8,5642.915068493151
2021-03-12,7686,6602.428571428572,6074.666666666667,5651.5232876712325
2021-03-13,13639,6978.857142857143,6348.666666666667,5673.632876712329
2021-03-14,6698,6665.857142857143,6527.966666666666,5681.134246575342
2021-03-15,6918,7414.857142857143,6531.7,5693.449315068493
2021-03-16,8684,8131.857142857143,6634.933333333333,5699.046575342466
2021-03-17,7287,7845.142857142857,6730.6,5704.8876712328765
2021-03-18,5624,8076.571428571428,6709.966666666666,5704.164383561644
2021-03-19,7661,8073.0,6761.4,5712.975342465754
2021-03-20,11782,7807.714285714285,6978.166666666667,5737.219178082192
2021-03-21,6504,7780.0,7137.2,5749.432876712329
2021-03-22,5460,7571.714285714285,7209.8,5760.131506849315
2021-03-23,9328,7663.714285714285,7332.1,5771.852054794521
2021-03-24,5844,7457.571428571428,7479.466666666666,5762.983561643836
2021-03-25,3363,7134.571428571428,7433.5,5740.783561643836
2021-03-26,13388,7952.714285714285,7759.5,5765.509589041096
2021-03-27,18343,8890.0,8090.266666666666,5785.923287671233
2021-03-28,5724,8778.57142857143,7956.2,5758.104109589041
2021-03-29,7430,9060.0,7895.733333333334,5768.490410958904
